county,state_full,cumulative_cases,State,county_pop,percent_cases
Carlisle,Kentucky,1376,KY,4720.0,0.29152542372881357
Clinton,Kentucky,4956,KY,9123.0,0.5432423544886551
Crittenden,Kentucky,2879,KY,8981.0,0.3205656385703151
Franklin,Kentucky,18954,KY,51607.0,0.3672757571647257
Grayson,Kentucky,10175,KY,26631.0,0.38207352333746386
Green,Kentucky,4962,KY,11365.0,0.43660360756709193
Greenup,Kentucky,17188,KY,35403.0,0.48549557947066635
Hancock,Kentucky,3196,KY,9021.0,0.3542844474005099
Jackson,Kentucky,5284,KY,12973.0,0.40730748477607337
Jessamine,Kentucky,19447,KY,54254.0,0.3584436170604932
Lawrence,Kentucky,5621,KY,16109.0,0.348935377739152
Lewis,Kentucky,5897,KY,12954.0,0.4552261849621738
McCreary,Kentucky,7851,KY,16701.0,0.47009161128076166
Marion,Kentucky,8145,KY,19775.0,0.4118836915297092
Metcalfe,Kentucky,3814,KY,10370.0,0.3677917068466731
Monroe,Kentucky,4559,KY,11355.0,0.40149713782474683
Montgomery,Kentucky,11558,KY,28367.0,0.4074452709133853
Powell,Kentucky,6727,KY,13083.0,0.5141787051899411
Rockcastle,Kentucky,6815,KY,16242.0,0.41959118335180395
Spencer,Kentucky,7199,KY,20204.0,0.35631558107305483
Taylor,Kentucky,12095,KY,26407.0,0.45802249403567236
Warren,Kentucky,56222,KY,139843.0,0.4020365695816022
Wolfe,Kentucky,3620,KY,6400.0,0.565625
Woodford,Kentucky,9670,KY,27062.0,0.35732761806222746
Allen Parish,Louisiana,9255,LA,22320.0,0.4146505376344086
Ascension Parish,Louisiana,46157,LA,130458.0,0.35380735562403226
Assumption Parish,Louisiana,6883,LA,20604.0,0.3340613473112017
Bossier Parish,Louisiana,52534,LA,129276.0,0.4063708654351929
Caddo Parish,Louisiana,90171,LA,229025.0,0.39371684313939526
Caldwell Parish,Louisiana,4660,LA,9554.0,0.4877538203893657
Cameron Parish,Louisiana,1399,LA,4902.0,0.2853937168502652
Claiborne Parish,Louisiana,4200,LA,13744.0,0.30558789289871946
De Soto Parish,Louisiana,9963,LA,26853.0,0.3710199977656128
East Feliciana Parish,Louisiana,8454,LA,19135.0,0.44180820486020383
Jefferson Parish,Louisiana,143866,LA,425884.0,0.3378055996468522
Rapides Parish,Louisiana,43617,LA,127189.0,0.34293059934428294
St. Helena Parish,Louisiana,2286,LA,10822.0,0.21123637035668083
St. James Parish,Louisiana,7509,LA,19423.0,0.3866035113010349
St. Mary Parish,Louisiana,15578,LA,47789.0,0.3259745966645044
Tangipahoa Parish,Louisiana,45791,LA,137048.0,0.3341238106356897
Terrebonne Parish,Louisiana,39358,LA,104786.0,0.37560361116943103
Union Parish,Louisiana,9046,LA,20721.0,0.4365619419912166
Webster Parish,Louisiana,14946,LA,35643.0,0.4193249726454002
Hancock,Maine,10366,ME,56701.0,0.18281864517380647
Oxford,Maine,14805,ME,59495.0,0.2488444407093033
Anne Arundel,Maryland,121199,MD,593286.0,0.20428427436346044
Cecil,Maryland,20590,MD,104942.0,0.19620361723618762
Harford,Maryland,50706,MD,263867.0,0.19216499221198557
Talbot,Maryland,7316,MD,37932.0,0.1928714541811663
Washington,Maryland,41238,MD,155590.0,0.26504274053602417
Worcester,Maryland,11011,MD,53866.0,0.20441465859725988
Essex,Massachusetts,258807,MA,806765.0,0.32079601866714597
Norfolk,Massachusetts,175023,MA,725531.0,0.24123435111663044
Suffolk,Massachusetts,269558,MA,766381.0,0.3517284483827235
Baraga,Michigan,2651,MI,8277.0,0.3202851274616407
Bay,Michigan,32062,MI,102821.0,0.31182346018809387
Branch,Michigan,13667,MI,44531.0,0.30690979317778627
Chippewa,Michigan,10384,MI,36293.0,0.2861157799024605
Dickinson,Michigan,9559,MI,25874.0,0.3694442297286852
Eaton,Michigan,35678,MI,108992.0,0.327345126247798
Emmet,Michigan,7677,MI,34163.0,0.22471679887597693
Gogebic,Michigan,4443,MI,14319.0,0.31028703121726375
Grand Traverse,Michigan,21762,MI,96464.0,0.2255971139492453
Gratiot,Michigan,13326,MI,41100.0,0.32423357664233576
Hillsdale,Michigan,12931,MI,45762.0,0.2825706918403916
Ingham,Michigan,86287,MI,284108.0,0.30371196868796374
Kalamazoo,Michigan,76517,MI,261173.0,0.2929743886236326
Mackinac,Michigan,3040,MI,10941.0,0.2778539438808153
Marquette,Michigan,19820,MI,66661.0,0.2973252726481751
Menominee,Michigan,7303,MI,23266.0,0.3138915155162039
Missaukee,Michigan,3616,MI,15213.0,0.2376914481035956
Montmorency,Michigan,2020,MI,9569.0,0.21109833838436617
Ogemaw,Michigan,5154,MI,20970.0,0.24577968526466382
Presque Isle,Michigan,2423,MI,13361.0,0.18134870144450266
Sanilac,Michigan,10719,MI,40657.0,0.2636446368399046
Shiawassee,Michigan,22434,MI,68022.0,0.329805063067831
Wexford,Michigan,8745,MI,34196.0,0.25573166452216634
Aitkin,Minnesota,3820,MN,16126.0,0.236884534292447
Anoka,Minnesota,120334,MN,368864.0,0.3262286371128654
Carlton,Minnesota,11571,MN,36708.0,0.31521739130434784
Chippewa,Minnesota,3848,MN,12284.0,0.3132530120481928
Cook,Minnesota,839,MN,5708.0,0.14698668535388928
Crow Wing,Minnesota,19628,MN,67948.0,0.2888679578501207
Dodge,Minnesota,6796,MN,20981.0,0.32391211095753303
Goodhue,Minnesota,15711,MN,48013.0,0.3272238768666819
Lac qui Parle,Minnesota,2215,MN,6689.0,0.331140678726267
Le Sueur,Minnesota,7555,MN,29153.0,0.25915000171508934
Lyon,Minnesota,8367,MN,25262.0,0.33120893040931043
Martin,Minnesota,6824,MN,19650.0,0.3472773536895674
Mille Lacs,Minnesota,8535,MN,27280.0,0.312866568914956
Morrison,Minnesota,11290,MN,34246.0,0.32967353851544706
Murray,Minnesota,2414,MN,8060.0,0.29950372208436726
Otter Tail,Minnesota,16722,MN,60519.0,0.2763099191989293
Redwood,Minnesota,4841,MN,15361.0,0.3151487533363713
